Instructor Name,HCM Home Dept,Crosslisted Course Flag,Course Subject Short Nm,Course Number,Course Title Nm,Pct of Instructor Hrs Taught,Semester Year Name Concat,Prorated Instr Enrollment Cnt,Crs Academic Division Nm,Section Nbr
Avideh Zakhor,Electrical Eng & Computer Sci,,Electrical Engineering,225B,Dig Imag Proc,50,2019 Spring,8,College of Engineering (Division Lvl),001
Avideh Zakhor,Electrical Eng & Computer Sci,,Electrical Engineering,225B,Dig Imag Proc,100,2018 Spring,27,College of Engineering (Division Lvl),001
Avideh Zakhor,Electrical Eng & Computer Sci,,Electrical Engineering,290,Adv Topics In Ee,100,2019 Fall,19,College of Engineering (Division Lvl),003
Avideh Zakhor,Electrical Eng & Computer Sci,,Electrical Engineering,290T,Signal Processing,100,2018 Fall,20,College of Engineering (Division Lvl),001
Avideh Zakhor,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2016 Fall,3,College of Engineering (Division Lvl),078
Avideh Zakhor,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2017 Spring,1,College of Engineering (Division Lvl),071
Avideh Zakhor,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2017 Fall,1,College of Engineering (Division Lvl),078
Avideh Zakhor,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2018 Fall,1,College of Engineering (Division Lvl),078
Avideh Zakhor,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2019 Spring,1,College of Engineering (Division Lvl),071
Avideh Zakhor,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2019 Fall,4,College of Engineering (Division Lvl),078
Avishay Tal,Electrical Eng & Computer Sci,,Computer Science,294,Special Topics,100,2020 Spring,25,College of Engineering (Division Lvl),092
Aydin Buluc,Electrical Eng & Computer Sci,Y,Computer Science,C267,App Of Parallel Com,25,2019 Spring,23.5,College of Engineering (Division Lvl),001
Aydin Buluc,Electrical Eng & Computer Sci,Y,Computer Science,C267,App Of Parallel Com,33.33333333,2018 Spring,34,College of Engineering (Division Lvl),001
Aydin Buluc,Electrical Eng & Computer Sci,Y,Computer Science,C267,App Of Parallel Com,33.33333333,2020 Spring,45,College of Engineering (Division Lvl),001
Aydin Buluc,Electrical Eng & Computer Sci,Y,Computer Science,C267,App Of Parallel Com,50,2017 Spring,39,College of Engineering (Division Lvl),001
Aydin Buluc,Electrical Eng & Computer Sci,Y,Engineering,C233,App Of Parallel Com,50,2017 Spring,1,College of Engineering (Division Lvl),001
Aydin Buluc,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2018 Fall,2,College of Engineering (Division Lvl),099
Aydin Buluc,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2019 Spring,1,College of Engineering (Division Lvl),019
Aydin Buluc,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2019 Fall,1,College of Engineering (Division Lvl),099
Aydin Buluc,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2020 Spring,2,College of Engineering (Division Lvl),019
Aydin Buluc,Electrical Eng & Computer Sci,,Engineering,296MA,Capstone Project,50,2019 Fall,1.5,College of Engineering (Division Lvl),050
Aydin Buluc,Electrical Eng & Computer Sci,,Engineering,296MB,Capstone Project,50,2020 Spring,1.5,College of Engineering (Division Lvl),024
Babak Ayazifar,Electrical Eng & Computer Sci,,Computer Science,70,Discrete Math&Prob,50,2018 Spring,386.5,College of Engineering (Division Lvl),001
Babak Ayazifar,Electrical Eng & Computer Sci,,Computer Science,70,Discrete Math&Prob,50,2019 Spring,384,College of Engineering (Division Lvl),001
Babak Ayazifar,Electrical Eng & Computer Sci,,Computer Science,70,Discrete Math&Prob,50,2020 Spring,336.5,College of Engineering (Division Lvl),001
Babak Ayazifar,Electrical Eng & Computer Sci,,Computer Science,197,Field Study,50,2018 Spring,2.5,College of Engineering (Division Lvl),210
Babak Ayazifar,Electrical Eng & Computer Sci,,Computer Science,197,Field Study,50,2019 Spring,1.5,College of Engineering (Division Lvl),210
Babak Ayazifar,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,50,2016 Fall,6,College of Engineering (Division Lvl),032
Babak Ayazifar,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,50,2018 Spring,5.5,College of Engineering (Division Lvl),030
Babak Ayazifar,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,50,2019 Spring,3.5,College of Engineering (Division Lvl),030
Babak Ayazifar,Electrical Eng & Computer Sci,,Electrical Eng & Computer Sci,47F,Supl Disc Math&Prob,50,2018 Spring,1,College of Engineering (Division Lvl),001
Babak Ayazifar,Electrical Eng & Computer Sci,,Electrical Eng & Computer Sci,47F,Supl Disc Math&Prob,50,2019 Spring,0.5,College of Engineering (Division Lvl),001
Babak Ayazifar,Electrical Eng & Computer Sci,,Electrical Engineering,16A,Design Info Dev I,33.33333333,2016 Fall,249.6666666667,College of Engineering (Division Lvl),001
Babak Ayazifar,Electrical Eng & Computer Sci,,Electrical Engineering,16A,Design Info Dev I,50,2017 Spring,384,College of Engineering (Division Lvl),001
Babak Ayazifar,Electrical Eng & Computer Sci,,Electrical Engineering,120,Signals And Systems,100,2017 Fall,129,College of Engineering (Division Lvl),001
Babak Ayazifar,Electrical Eng & Computer Sci,,Electrical Engineering,120,Signals And Systems,100,2018 Fall,124,College of Engineering (Division Lvl),001
Babak Ayazifar,Electrical Eng & Computer Sci,,Electrical Engineering,120,Signals And Systems,100,2019 Spring,131,College of Engineering (Division Lvl),001
Babak Ayazifar,Electrical Eng & Computer Sci,,Electrical Engineering,120,Signals And Systems,100,2020 Spring,110,College of Engineering (Division Lvl),001
Babak Ayazifar,Electrical Eng & Computer Sci,,Electrical Engineering,197,Field Study,50,2016 Fall,4,College of Engineering (Division Lvl),204
Babak Ayazifar,Electrical Eng & Computer Sci,,Electrical Engineering,197,Field Study,100,2019 Spring,1,College of Engineering (Division Lvl),010
Babak Ayazifar,Electrical Eng & Computer Sci,,Electrical Engineering,375,Teaching Elec Eng,100,2018 Fall,52,College of Engineering (Division Lvl),001
Babak Ayazifar,Electrical Eng & Computer Sci,,Electrical Engineering,375,Teaching Elec Eng,100,2019 Fall,51,College of Engineering (Division Lvl),001
Barath Raghavan,Electrical Eng & Computer Sci,,Computer Science,194,Special Topics,100,2017 Fall,27,College of Engineering (Division Lvl),032
Benjamin Recht,Electrical Eng & Computer Sci,Y,Computer Science,C281A,Stat Learn Theory,14.28571429,2019 Fall,18.5714285714,College of Engineering (Division Lvl),001
Benjamin Recht,Electrical Eng & Computer Sci,Y,Computer Science,C281B,Adv Learn & Decisn,100,2017 Spring,11,College of Engineering (Division Lvl),001
Benjamin Recht,Electrical Eng & Computer Sci,Y,Electrical Engineering,C227C,Convex Opt & Ap,100,2019 Spring,79,College of Engineering (Division Lvl),001
Benjamin Recht,Electrical Eng & Computer Sci,Y,Industrial Eng & Ops Rsch,C227B,Convex Opt & Ap,100,2019 Spring,4,College of Engineering (Division Lvl),001
Benjamin Recht,Electrical Eng & Computer Sci,Y,Statistics,C241B,Adv Learn & Decisn,100,2017 Spring,12,L&S Mathematical and Physical Sciences Division,001
Benjamin Recht,Electrical Eng & Computer Sci,,Computer Science,189,Intro Machine Learn,33.33333333,2018 Fall,71.6666666667,College of Engineering (Division Lvl),001
Benjamin Recht,Electrical Eng & Computer Sci,,Computer Science,198,Directed Group Stdy,100,2017 Spring,53,College of Engineering (Division Lvl),072
Benjamin Recht,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2017 Spring,2,College of Engineering (Division Lvl),065
Benjamin Recht,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2017 Fall,1,College of Engineering (Division Lvl),054
Benjamin Recht,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2018 Spring,1,College of Engineering (Division Lvl),065
Benjamin Recht,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2019 Spring,1,College of Engineering (Division Lvl),065
Benjamin Recht,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2019 Fall,1,College of Engineering (Division Lvl),054
Benjamin Recht,Electrical Eng & Computer Sci,,Computer Science,289A,Intro Machine Learn,33.33333333,2018 Fall,15,College of Engineering (Division Lvl),001
Benjamin Recht,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2017 Spring,6,College of Engineering (Division Lvl),092
Benjamin Recht,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2017 Fall,5,College of Engineering (Division Lvl),082
Benjamin Recht,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2018 Spring,6,College of Engineering (Division Lvl),092
Benjamin Recht,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2018 Fall,7,College of Engineering (Division Lvl),082
Benjamin Recht,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2019 Spring,6,College of Engineering (Division Lvl),092
Benjamin Recht,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2019 Fall,6,College of Engineering (Division Lvl),082
Benjamin Recht,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2017 Spring,4,College of Engineering (Division Lvl),083
Benjamin Recht,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2017 Fall,4,College of Engineering (Division Lvl),082
Benjamin Recht,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2018 Spring,3,College of Engineering (Division Lvl),083
Benjamin Recht,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2018 Fall,3,College of Engineering (Division Lvl),082
Benjamin Recht,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2019 Spring,4,College of Engineering (Division Lvl),083
Benjamin Recht,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2019 Fall,1,College of Engineering (Division Lvl),082
Benjamin Recht,Electrical Eng & Computer Sci,,Mechanical Engineering,24,Freshman Seminars,50,2017 Spring,6.5,College of Engineering (Division Lvl),002
Benjamin Recht,Electrical Eng & Computer Sci,,Statistics,299,Research,100,2018 Spring,1,L&S Mathematical and Physical Sciences Division,023
Beresford Parlett,Electrical Eng & Computer Sci,,Mathematics,196,Honors Thesis,100,2017 Fall,1,L&S Mathematical and Physical Sciences Division,002
Bernhard Boser,Electrical Eng & Computer Sci,,Computer Science,61C,Machine Structures,50,2016 Fall,288.5,College of Engineering (Division Lvl),001
Bernhard Boser,Electrical Eng & Computer Sci,,Computer Science,197,Field Study,50,2016 Fall,7,College of Engineering (Division Lvl),204
Bernhard Boser,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2018 Fall,2,College of Engineering (Division Lvl),080
Bernhard Boser,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,50,2016 Fall,4.5,College of Engineering (Division Lvl),038
Bernhard Boser,Electrical Eng & Computer Sci,,Electrical Eng & Computer Sci,47D,Design Info Dev,50,2019 Fall,4,College of Engineering (Division Lvl),001
Bernhard Boser,Electrical Eng & Computer Sci,,Electrical Engineering,16A,Design Info Dev I,50,2019 Fall,519,College of Engineering (Division Lvl),001
Bernhard Boser,Electrical Eng & Computer Sci,,Electrical Engineering,49,Electronics For Iot,50,2018 Spring,32,College of Engineering (Division Lvl),001
Bernhard Boser,Electrical Eng & Computer Sci,,Electrical Engineering,49,Electronics For Iot,50,2018 Fall,36.5,College of Engineering (Division Lvl),001
Bernhard Boser,Electrical Eng & Computer Sci,,Electrical Engineering,199,Superv Indep Study,100,2018 Spring,1,College of Engineering (Division Lvl),004
Bernhard Boser,Electrical Eng & Computer Sci,,Electrical Engineering,199,Superv Indep Study,100,2018 Fall,1,College of Engineering (Division Lvl),004
Bernhard Boser,Electrical Eng & Computer Sci,,Electrical Engineering,240B,Adv Analog Int Circ,100,2017 Spring,17,College of Engineering (Division Lvl),001
Bernhard Boser,Electrical Eng & Computer Sci,,Electrical Engineering,W240B,Adv Analog Int Circ,100,2016 Fall,4,College of Engineering (Division Lvl),001
Bernhard Boser,Electrical Eng & Computer Sci,,Electrical Engineering,W240B,Adv Analog Int Circ,100,2017 Fall,7,College of Engineering (Division Lvl),001
Bernhard Boser,Electrical Eng & Computer Sci,,Electrical Engineering,W240C,Vlsi An-Dig Interf,100,2017 Spring,4,College of Engineering (Division Lvl),101
Bernhard Boser,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2016 Fall,4,College of Engineering (Division Lvl),011
Bernhard Boser,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2017 Spring,3,College of Engineering (Division Lvl),005
Bernhard Boser,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2017 Fall,1,College of Engineering (Division Lvl),011
Bernhard Boser,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2018 Spring,1,College of Engineering (Division Lvl),005
Bernhard Boser,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2018 Fall,1,College of Engineering (Division Lvl),011
Bernhard Boser,Electrical Eng & Computer Sci,,Electrical Engineering,299,Indiv Research,100,2019 Fall,1,College of Engineering (Division Lvl),011
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,160,User Interfaces,100,2018 Spring,90,College of Engineering (Division Lvl),001
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,160,User Interfaces,100,2019 Spring,88,College of Engineering (Division Lvl),001
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,160,User Interfaces,100,2020 Spring,94,College of Engineering (Division Lvl),001
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,194,Special Topics,50,2017 Spring,6,College of Engineering (Division Lvl),131
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,197,Field Study,100,2017 Spring,8,College of Engineering (Division Lvl),211
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,197,Field Study,100,2018 Spring,7,College of Engineering (Division Lvl),211
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,197,Field Study,100,2018 Fall,10,College of Engineering (Division Lvl),220
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,198,Directed Group Stdy,50,2017 Fall,76,College of Engineering (Division Lvl),056
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,198,Directed Group Stdy,50,2018 Spring,81,College of Engineering (Division Lvl),056
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,198,Directed Group Stdy,50,2020 Spring,98,College of Engineering (Division Lvl),056
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,198,Directed Group Stdy,100,2016 Fall,101,College of Engineering (Division Lvl),056
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,198,Directed Group Stdy,100,2017 Spring,111,College of Engineering (Division Lvl),056
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,198,Directed Group Stdy,100,2018 Fall,99,College of Engineering (Division Lvl),056
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2016 Fall,2,College of Engineering (Division Lvl),018
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2017 Spring,1,College of Engineering (Division Lvl),031
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2017 Fall,8,College of Engineering (Division Lvl),018
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,199,Superv Indep Study,100,2018 Spring,1,College of Engineering (Division Lvl),031
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,260A,User Interfaces,100,2018 Spring,14,College of Engineering (Division Lvl),001
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,260A,User Interfaces,100,2019 Spring,25,College of Engineering (Division Lvl),001
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,260A,User Interfaces,100,2020 Spring,20,College of Engineering (Division Lvl),001
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,294,Special Topics,33.33333333,2018 Fall,14,College of Engineering (Division Lvl),137
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,294,Special Topics,50,2016 Fall,11.5,College of Engineering (Division Lvl),084
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,294,Special Topics,100,2017 Fall,11,College of Engineering (Division Lvl),084
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,294,Special Topics,100,2019 Fall,32,College of Engineering (Division Lvl),137
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,298,"Grp Std, Sem, Res",100,2017 Fall,19,College of Engineering (Division Lvl),055
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2016 Fall,6,College of Engineering (Division Lvl),022
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2017 Spring,6,College of Engineering (Division Lvl),038
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2017 Fall,8,College of Engineering (Division Lvl),022
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2018 Spring,7,College of Engineering (Division Lvl),038
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2018 Fall,9,College of Engineering (Division Lvl),022
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2019 Spring,8,College of Engineering (Division Lvl),038
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2019 Fall,8,College of Engineering (Division Lvl),022
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,299,Indiv Research,100,2020 Spring,8,College of Engineering (Division Lvl),038
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,100,2016 Fall,9,College of Engineering (Division Lvl),037
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,100,2017 Spring,8,College of Engineering (Division Lvl),008
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,100,2017 Fall,1,College of Engineering (Division Lvl),037
Bjorn Hartmann,Electrical Eng & Computer Sci,,Computer Science,399,Supervised Teaching,100,2020 Spring,11,College of Engineering (Division Lvl),008
Bjorn Hartmann,Electrical Eng & Computer Sci,,Design Innovation,98,Directed Group Stud,50,2019 Fall,105,College of Engineering (Division Lvl),7
Bjorn Hartmann,Electrical Eng & Computer Sci,,Design Innovation,190,Spec Topics Des Inv,50,2017 Spring,2,College of Engineering (Division Lvl),001
Bjorn Hartmann,Electrical Eng & Computer Sci,,Design Innovation,198,Directed Group Stud,100,2016 Fall,121,College of Engineering (Division Lvl),002
Bjorn Hartmann,Electrical Eng & Computer Sci,,Design Innovation,198,Directed Group Stud,100,2016 Fall,22,College of Engineering (Division Lvl),1
Bjorn Hartmann,Electrical Eng & Computer Sci,,Design Innovation,198,Directed Group Stud,100,2017 Spring,22,College of Engineering (Division Lvl),001
Bjorn Hartmann,Electrical Eng & Computer Sci,,Design Innovation,198,Directed Group Stud,100,2017 Spring,115,College of Engineering (Division Lvl),002
Bjorn Hartmann,Electrical Eng & Computer Sci,,Design Innovation,198,Directed Group Stud,100,2017 Fall,17,College of Engineering (Division Lvl),1
Bjorn Hartmann,Electrical Eng & Computer Sci,,Design Innovation,198,Directed Group Stud,100,2017 Fall,120,College of Engineering (Division Lvl),2
Bjorn Hartmann,Electrical Eng & Computer Sci,,Design Innovation,198,Directed Group Stud,100,2018 Spring,23,College of Engineering (Division Lvl),1
Bjorn Hartmann,Electrical Eng & Computer Sci,,Design Innovation,198,Directed Group Stud,100,2018 Spring,108,College of Engineering (Division Lvl),2
Bjorn Hartmann,Electrical Eng & Computer Sci,,Design Innovation,198,Directed Group Stud,100,2018 Fall,19,College of Engineering (Division Lvl),001
Bjorn Hartmann,Electrical Eng & Computer Sci,,Design Innovation,198,Directed Group Stud,100,2018 Fall,105,College of Engineering (Division Lvl),002
Bjorn Hartmann,Electrical Eng & Computer Sci,,Design Innovation,198,Directed Group Stud,100,2019 Spring,23,College of Engineering (Division Lvl),1
Bjorn Hartmann,Electrical Eng & Computer Sci,,Design Innovation,198,Directed Group Stud,100,2019 Spring,99,College of Engineering (Division Lvl),2
Bjorn Hartmann,Electrical Eng & Computer Sci,,Design Innovation,198,Directed Group Stud,100,2019 Spring,95,College of Engineering (Division Lvl),5
Bjorn Hartmann,Electrical Eng & Computer Sci,,Design Innovation,198,Directed Group Stud,100,2019 Fall,19,College of Engineering (Division Lvl),001
Bjorn Hartmann,Electrical Eng & Computer Sci,,Design Innovation,198,Directed Group Stud,100,2019 Fall,105,College of Engineering (Division Lvl),002
Bjorn Hartmann,Electrical Eng & Computer Sci,,Design Innovation,198,Directed Group Stud,100,2020 Spring,19,College of Engineering (Division Lvl),4
Bjorn Hartmann,Electrical Eng & Computer Sci,,Design Innovation,198,Directed Group Stud,100,2020 Spring,27,College of Engineering (Division Lvl),5
Bjorn Hartmann,Electrical Eng & Computer Sci,,Design Innovation,198,Directed Group Stud,100,2020 Spring,25,College of Engineering (Division Lvl),6
Bjorn Hartmann,Electrical Eng & Computer Sci,,Design Innovation,198,Directed Group Stud,100,2020 Spring,26,College of Engineering (Division Lvl),7
Bjorn Hartmann,Electrical Eng & Computer Sci,,Design Innovation,198,Directed Group Stud,100,2020 Spring,27,College of Engineering (Division Lvl),8
Bjorn Hartmann,Electrical Eng & Computer Sci,,Design Innovation,198,Directed Group Stud,100,2020 Spring,29,College of Engineering (Division Lvl),9
Bjorn Hartmann,Electrical Eng & Computer Sci,,Design Innovation,199,Superv Indep Study,100,2017 Fall,4,College of Engineering (Division Lvl),1
Bjorn Hartmann,Electrical Eng & Computer Sci,,Design Innovation,199,Superv Indep Study,100,2018 Spring,9,College of Engineering (Division Lvl),1
Bjorn Hartmann,Electrical Eng & Computer Sci,,Design Innovation,199,Superv Indep Study,100,2018 Fall,5,College of Engineering (Division Lvl),001
Bjorn Hartmann,Electrical Eng & Computer Sci,,Design Innovation,199,Superv Indep Study,100,2019 Spring,22,College of Engineering (Division Lvl),1
Bjorn Hartmann,Electrical Eng & Computer Sci,,Design Innovation,199,Superv Indep Study,100,2019 Spring,1,College of Engineering (Division Lvl),6
Bjorn Hartmann,Electrical Eng & Computer Sci,,Design Innovation,199,Superv Indep Study,100,2019 Fall,25,College of Engineering (Division Lvl),1
Bjorn Hartmann,Electrical Eng & Computer Sci,,Design Innovation,199,Superv Indep Study,100,2020 Spring,14,College of Engineering (Division Lvl),1
Bjorn Hartmann,Electrical Eng & Computer Sci,,Engineering,296MA,Capstone Project,100,2016 Fall,2,College of Engineering (Division Lvl),020
Bjorn Hartmann,Electrical Eng & Computer Sci,,Engineering,296MA,Capstone Project,100,2019 Fall,5,College of Engineering (Division Lvl),051
Bjorn Hartmann,Electrical Eng & Computer Sci,,Engineering,296MB,Capstone Project,100,2017 Spring,2,College of Engineering (Division Lvl),019
Bjorn Hartmann,Electrical Eng & Computer Sci,,Engineering,296MB,Capstone Project,100,2020 Spring,5,College of Engineering (Division Lvl),010
Bjorn Hartmann,Electrical Eng & Computer Sci,,Letters & Science,25,Thinking Art/Design,50,2019 Fall,50.5,L&S Undergraduate Studies Division,001
Bjorn Hartmann,Electrical Eng & Computer Sci,,Mechanical Engineering,290U,Int Dev Des,50,2016 Fall,10.5,College of Engineering (Division Lvl),001
Bjorn Hartmann,Electrical Eng & Computer Sci,,Mechanical Engineering,290U,Int Dev Des,100,2017 Fall,20,College of Engineering (Division Lvl),001
Borivoje Nikolic,Electrical Eng & Computer Sci,,Computer Science,61C,Machine Structures,50,2018 Fall,457,College of Engineering (Division Lvl),001
Borivoje Nikolic,Electrical Eng & Computer Sci,,Electrical Eng & Computer Sci,151,Intro Dig Inte Cir,50,2019 Fall,23.5,College of Engineering (Division Lvl),001
Borivoje Nikolic,Electrical Eng & Computer Sci,,Electrical Eng & Computer Sci,151,Intro Dig Inte Cir,100,2016 Fall,12,College of Engineering (Division Lvl),001
Borivoje Nikolic,Electrical Eng & Computer Sci,,Electrical Eng & Computer Sci,151LA,Intro Dig Des Ic As,33.33333333,2019 Fall,2.6666666667,College of Engineering (Division Lvl),001
Borivoje Nikolic,Electrical Eng & Computer Sci,,Electrical Eng & Computer Sci,151LA,Intro Dig Des Ic As,50,2016 Fall,0.5,College of Engineering (Division Lvl),101
Borivoje Nikolic,Electrical Eng & Computer Sci,,Electrical Eng & Computer Sci,151LB,Dig Des Ic Fpga Lab,33.33333333,2019 Fall,5.3333333333,College of Engineering (Division Lvl),001
Borivoje Nikolic,Electrical Eng & Computer Sci,,Electrical Eng & Computer Sci,151LB,Dig Des Ic Fpga Lab,33.33333333,2019 Fall,7,College of Engineering (Division Lvl),002
Borivoje Nikolic,Electrical Eng & Computer Sci,,Electrical Eng & Computer Sci,151LB,Dig Des Ic Fpga Lab,33.33333333,2019 Fall,2.6666666667,College of Engineering (Division Lvl),003
Borivoje Nikolic,Electrical Eng & Computer Sci,,Electrical Eng & Computer Sci,151LB,Dig Des Ic Fpga Lab,50,2016 Fall,6,College of Engineering (Division Lvl),103
Borivoje Nikolic,Electrical Eng & Computer Sci,,Electrical Eng & Computer Sci,251A,Intro Dig Des Ic,50,2019 Fall,8.5,College of Engineering (Division Lvl),001
Borivoje Nikolic,Electrical Eng & Computer Sci,,Electrical Eng & Computer Sci,251A,Intro Dig Des Ic,100,2016 Fall,18,College of Engineering (Division Lvl),001
Borivoje Nikolic,Electrical Eng & Computer Sci,,Electrical Eng & Computer Sci,251LA,Intro Dig Des Ic As,33.33333333,2019 Fall,2.3333333333,College of Engineering (Division Lvl),101
Borivoje Nikolic,Electrical Eng & Computer Sci,,Electrical Eng & Computer Sci,251LA,Intro Dig Des Ic As,50,2016 Fall,6,College of Engineering (Division Lvl),101
Borivoje Nikolic,Electrical Eng & Computer Sci,,Electrical Eng & Computer Sci,251LB,Dig Des Ic Fpga Lab,33.33333333,2019 Fall,1.3333333333,College of Engineering (Division Lvl),101
Borivoje Nikolic,Electrical Eng & Computer Sci,,Electrical Eng & Computer Sci,251LB,Dig Des Ic Fpga Lab,33.33333333,2019 Fall,1,College of Engineering (Division Lvl),102
Borivoje Nikolic,Electrical Eng & Computer Sci,,Electrical Eng & Computer Sci,251LB,Dig Des Ic Fpga Lab,33.33333333,2019 Fall,1.3333333333,College of Engineering (Division Lvl),103
Borivoje Nikolic,Electrical Eng & Computer Sci,,Electrical Eng & Computer Sci,251LB,Dig Des Ic Fpga Lab,50,2016 Fall,2,College of Engineering (Division Lvl),103
Borivoje Nikolic,Electrical Eng & Computer Sci,,Electrical Engineering,199,Superv Indep Study,100,2017 Fall,1,College of Engineering (Division Lvl),031
Borivoje Nikolic,Electrical Eng & Computer Sci,,Electrical Engineering,199,Superv Indep Study,100,2019 Fall,1,College of Engineering (Division Lvl),031
Borivoje Nikolic,Electrical Eng & Computer Sci,,Electrical Engineering,241B,Adv Digital Int Cir,100,2017 Spring,11,College of Engineering (Division Lvl),001
Borivoje Nikolic,Electrical Eng & Computer Sci,,Electrical Engineering,241B,Adv Digital Int Cir,100,2018 Spring,14,College of Engineering (Division Lvl),001
Borivoje Nikolic,Electrical Eng & Computer Sci,,Electrical Engineering,W241B,Adv Digital Int Cir,100,2017 Spring,8,College of Engineering (Division Lvl),001
Borivoje Nikolic,Electrical Eng & Computer Sci,,Electrical Engineering,W241B,Adv Digital Int Cir,100,2018 Spring,2,College of Engineering (Division Lvl),001
